locus_tag,gene,product,bp_length
BGR_RS00580,aroQ,type II 3-dehydroquinate dehydratase,453
BGR_RS00585,cyoA,ubiquinol oxidase subunit II,972
BGR_RS00590,cyoB,cytochrome o ubiquinol oxidase subunit I,2019
BGR_RS00595,,cytochrome (ubi)quinol oxidase subunit III,669
BGR_RS00600,cyoD,cytochrome o ubiquinol oxidase subunit IV,549
BGR_RS00605,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,1008
BGR_RS00610,fabI,enoyl-ACP reductase FabI,819
BGR_RS00615,fabB,beta-ketoacyl-ACP synthase I,1221
BGR_RS00620,fabA,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA,510
BGR_RS00625,,transcriptional repressor,423
BGR_RS00630,,SH3 domain-containing protein,561
BGR_RS00635,rpsU,30S ribosomal protein S21,234
BGR_RS00640,,formate--tetrahydrofolate ligase,1674
BGR_RS00655,,efflux RND transporter periplasmic adaptor subunit,1140
BGR_RS00660,,efflux RND transporter permease subunit,3135
BGR_RS00665,pgi,glucose-6-phosphate isomerase,1665
BGR_RS00675,rplU,50S ribosomal protein L21,480
BGR_RS00680,rpmA,50S ribosomal protein L27,270
BGR_RS00685,ptsP,phosphoenolpyruvate--protein phosphotransferase,2532
BGR_RS00695,,MFS transporter,1221
BGR_RS11275,,ATP-grasp domain-containing protein,765
BGR_RS00710,,hypothetical protein,1485
BGR_RS11280,,hypothetical protein,165
BGR_RS00715,,hypothetical protein,318
BGR_RS00720,,hypothetical protein,240
BGR_RS10180,,thymidylate kinase,366
BGR_RS00725,,MFS transporter,1212
BGR_RS00730,,hypothetical protein,270
BGR_RS10710,,hypothetical protein,468
BGR_RS00740,,helix-turn-helix domain-containing protein,504
BGR_RS00745,,Vomp family autotransporter,6810
BGR_RS10045,,YadA-like family protein,6090
BGR_RS00755,,hypothetical protein,231
BGR_RS00760,,hypothetical protein,273
BGR_RS00765,,hypothetical protein,297
BGR_RS00770,,hypothetical protein,195
BGR_RS00775,,YadA-like family protein,327
BGR_RS11245,,hypothetical protein,147
BGR_RS00780,,Vomp family autotransporter,5358
BGR_RS00785,,hypothetical protein,204
BGR_RS00790,,YadA-like family protein,12312
BGR_RS00795,,hypothetical protein,222
BGR_RS11015,,hypothetical protein,150
BGR_RS10995,,hypothetical protein,261
BGR_RS00805,,hypothetical protein,204
BGR_RS00810,,YadA-like family protein,9420
BGR_RS00815,,invasion associated locus B family protein,603
BGR_RS00820,,Ppx/GppA family phosphatase,1311
BGR_RS00825,,RlmE family RNA methyltransferase,729
BGR_RS00830,obgE,GTPase ObgE,1026
BGR_RS00835,proB,glutamate 5-kinase,1140
BGR_RS00840,,glutamate-5-semialdehyde dehydrogenase,1257
BGR_RS00845,,nicotinate-nucleotide adenylyltransferase,594
BGR_RS00850,rsfS,ribosome silencing factor,444
BGR_RS00855,rlmH,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,483
BGR_RS00860,,peptidoglycan DD-metalloendopeptidase family protein,1281
BGR_RS00865,,S41 family peptidase,1311
BGR_RS00870,,RNA pyrophosphohydrolase,522
BGR_RS00875,,invasion associated locus B family protein,561
BGR_RS00880,,YggT family protein,294
BGR_RS00885,,DUF167 domain-containing protein,315
BGR_RS00890,ppa,inorganic diphosphatase,531
BGR_RS00895,typA,translational GTPase TypA,1827
BGR_RS00900,mgtE,magnesium transporter,1377
BGR_RS00905,,M3 family metallopeptidase,2025
BGR_RS00910,,DUF459 domain-containing protein,1077
BGR_RS00915,,lytic murein transglycosylase,1257
BGR_RS00920,,UTP--glucose-1-phosphate uridylyltransferase,891
BGR_RS00925,,KpsF/GutQ family sugar-phosphate isomerase,993
BGR_RS00930,,hypothetical protein,360
BGR_RS00935,,sigma 54-interacting transcriptional regulator,1386
BGR_RS00940,,phospholipase D family protein,1572
BGR_RS00945,guaB,IMP dehydrogenase,1500
BGR_RS11020,,hypothetical protein,147
BGR_RS00950,,RsmB/NOP family class I SAM-dependent RNA methyltransferase,1287
BGR_RS00955,guaA,glutamine-hydrolyzing GMP synthase,1557
BGR_RS00960,,glycerophosphoryl diester phosphodiesterase,723
BGR_RS00965,ugpB,sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB,1335
BGR_RS00970,ugpA,sn-glycerol-3-phosphate ABC transporter permease UgpA,885
BGR_RS00975,ugpE,sn-glycerol-3-phosphate ABC transporter permease UgpE,852
BGR_RS00980,,sn-glycerol-3-phosphate import ATP-binding protein UgpC,1047
BGR_RS00990,,zinc ABC transporter substrate-binding protein,918
BGR_RS00995,,metal ABC transporter permease,870
BGR_RS01000,,ABC transporter ATP-binding protein,753
BGR_RS01005,nrdH,glutaredoxin-like protein NrdH,225
BGR_RS01010,nrdI,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,399
BGR_RS01015,nrdE,class 1b ribonucleoside-diphosphate reductase subunit alpha,2151
BGR_RS01020,nrdF,class 1b ribonucleoside-diphosphate reductase subunit beta,975
BGR_RS01025,prmC,peptide chain release factor N(5)-glutamine methyltransferase,867
BGR_RS01030,prfA,peptide chain release factor 1,1077
BGR_RS01035,,transcriptional repressor,492
BGR_RS01040,secA,preprotein translocase subunit SecA,2718
BGR_RS01045,,peptidylprolyl isomerase,954
BGR_RS01050,argJ,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,1233
BGR_RS01055,mutT,8-oxo-dGTP diphosphatase MutT,414
BGR_RS01060,,NlpC/P60 family protein,864
BGR_RS01065,,leucyl aminopeptidase family protein,1374
BGR_RS01070,coaA,type I pantothenate kinase,999
BGR_RS01075,,asparaginase,990
BGR_RS01080,hslV,ATP-dependent protease subunit HslV,582
BGR_RS01085,hslU,ATP-dependent protease ATPase subunit HslU,1311
BGR_RS01090,,class I SAM-dependent methyltransferase,996
BGR_RS01095,pnp,polyribonucleotide nucleotidyltransferase,2196
BGR_RS01100,rpsO,30S ribosomal protein S15,270
BGR_RS01105,,MFS transporter,1629
BGR_RS01110,truB,tRNA pseudouridine(55) synthase TruB,963
BGR_RS01115,rbfA,30S ribosome-binding factor RbfA,408
BGR_RS01120,infB,translation initiation factor IF-2,2520
BGR_RS01125,,RNA-binding protein,636
BGR_RS01130,nusA,transcription termination factor NusA,1632
BGR_RS01135,rimP,ribosome maturation factor RimP,651
BGR_RS01140,,tRNA (guanine(46)-N(7))-methyltransferase TrmB,702
BGR_RS01145,metK,methionine adenosyltransferase,1269
BGR_RS01150,,helix-turn-helix domain-containing protein,414
BGR_RS01155,lnt,apolipoprotein N-acyltransferase,1635
BGR_RS01160,,hemolysin family protein,1026
BGR_RS01165,ybeY,rRNA maturation RNase YbeY,492
BGR_RS01170,,PhoH family protein,1125
BGR_RS01175,miaB,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,1377
BGR_RS01180,rimI,ribosomal protein S18-alanine N-acetyltransferase,483
BGR_RS01185,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,687
BGR_RS01190,,YeiH family protein,1029
BGR_RS01195,recR,recombination mediator RecR,606
BGR_RS01200,,YbaB/EbfC family nucleoid-associated protein,324
BGR_RS01205,,DNA polymerase III subunit gamma/tau,1941
BGR_RS01210,,hypothetical protein,408
BGR_RS01215,,prephenate dehydratase,864
BGR_RS01220,,3-deoxy-manno-octulosonate cytidylyltransferase,732
BGR_RS01225,,cytochrome c family protein,564
BGR_RS01230,,molybdopterin-synthase adenylyltransferase MoeB,795
BGR_RS01235,gshB,glutathione synthase,939
BGR_RS01240,,substrate-binding domain-containing protein,1047
BGR_RS01245,pstC,phosphate ABC transporter permease subunit PstC,1461
BGR_RS01250,pstA,phosphate ABC transporter permease PstA,1290
BGR_RS01255,pstB,phosphate ABC transporter ATP-binding protein PstB,759
BGR_RS01260,phoU,phosphate signaling complex protein PhoU,723
BGR_RS01265,,cell wall hydrolase,837
BGR_RS01270,,aminopeptidase,1248
BGR_RS01275,mutM,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,876
BGR_RS01280,,M20/M25/M40 family metallo-hydrolase,1395
BGR_RS01285,,ribonuclease D,621
BGR_RS11285,,integrase,457
BGR_RS01295,,hypothetical protein,330
BGR_RS01305,,porin family protein,834
BGR_RS01310,,porin family protein,837
BGR_RS01315,,outer membrane beta-barrel protein,797
BGR_RS01320,,porin family protein,891
BGR_RS01330,,porin,1749
BGR_RS01335,ileS,isoleucine--tRNA ligase,2916
BGR_RS01340,,hypothetical protein,492
BGR_RS01345,,nucleoside deaminase,447
BGR_RS01350,,rRNA pseudouridine synthase,1401
BGR_RS01355,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,567
BGR_RS01360,,hypothetical protein,450
BGR_RS01365,,TldD/PmbA family protein,1332
BGR_RS01370,,"3'(2'),5'-bisphosphate nucleotidase CysQ",804
BGR_RS01375,,DUF4170 domain-containing protein,246
BGR_RS01380,waaA,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase,1323
BGR_RS01385,lpxK,tetraacyldisaccharide 4'-kinase,1041
BGR_RS01390,,DUF2093 domain-containing protein,237
BGR_RS01395,mutL,DNA mismatch repair endonuclease MutL,1854
BGR_RS01400,,2'-deoxycytidine 5'-triphosphate deaminase,1089
BGR_RS01405,lldD,FMN-dependent L-lactate dehydrogenase LldD,1152
BGR_RS11290,,Arm DNA-binding domain-containing protein,454
BGR_RS11295,,hypothetical protein,197
BGR_RS01420,,glycoside hydrolase family protein,663
BGR_RS01425,,helix-turn-helix domain-containing protein,192
BGR_RS01435,,SlyX family protein,204
BGR_RS01440,,amino acid permease,1431
BGR_RS01445,,ATP-binding cassette domain-containing protein,681
BGR_RS01450,,energy-coupling factor transporter transmembrane protein EcfT,639
BGR_RS01455,,biotin transporter BioY,570
BGR_RS01460,,biotin transporter BioY,546
BGR_RS11300,,BrnT family toxin,108
BGR_RS11305,,BrnA antitoxin family protein,90
BGR_RS01470,,hypothetical protein,858
BGR_RS01475,,hypothetical protein,539
BGR_RS01480,,hypothetical protein,180
BGR_RS01485,,ShlB/FhaC/HecB family hemolysin secretion/activation protein,1329
BGR_RS01490,,hypothetical protein,333
BGR_RS01495,,SMI1/KNR4 family protein,465
BGR_RS01500,,SMI1/KNR4 family protein,468
BGR_RS01505,,hypothetical protein,2581
BGR_RS01510,,hypothetical protein,345
BGR_RS01515,,SMI1/KNR4 family protein,471
BGR_RS01520,,hypothetical protein,675
BGR_RS01525,,hypothetical protein,993
BGR_RS01530,,glycoside hydrolase family protein,663
BGR_RS01535,,hypothetical protein,228
BGR_RS11310,,hypothetical protein,225
BGR_RS01540,,hypothetical protein,231
BGR_RS01545,,DNA adenine methylase,786
BGR_RS01550,,helix-turn-helix domain-containing protein,375
BGR_RS01555,,site-specific integrase,1158
BGR_RS01560,,hypothetical protein,213
BGR_RS11315,,hypothetical protein,207
BGR_RS01565,,hypothetical protein,228
BGR_RS01570,,lysozyme,663
BGR_RS01575,,type II toxin-antitoxin system RelE/ParE family toxin,303
BGR_RS01580,,putative addiction module antidote protein,321
BGR_RS01585,,phage late control protein,1305
BGR_RS01590,,tail protein X,225
BGR_RS01595,,phage tail protein,381
BGR_RS01600,,tail protein,2133
BGR_RS11320,,GpE family phage tail protein,63
BGR_RS01605,,phage tail assembly protein,288
BGR_RS01610,,phage major tail tube protein,507
BGR_RS01615,,phage tail sheath subtilisin-like domain-containing protein,1392
BGR_RS01620,,DNA adenine methylase,820
BGR_RS11325,,phage tail protein,1113
BGR_RS01635,,DUF4815 domain-containing protein,3144
BGR_RS01640,,phage tail protein,1107
BGR_RS01645,,baseplate J/gp47 family protein,828
BGR_RS01650,,GPW/gp25 family protein,342
BGR_RS01655,,phage baseplate assembly protein V,690
BGR_RS01660,,hypothetical protein,549
BGR_RS01665,,BrnT family toxin,300
BGR_RS01670,,BrnA antitoxin family protein,273
BGR_RS01675,,type II toxin-antitoxin system HicB family antitoxin,318
BGR_RS01680,,hypothetical protein,279
BGR_RS01685,,phage antirepressor Ant,738
BGR_RS01690,,hypothetical protein,354
BGR_RS01695,,major capsid protein,1077
BGR_RS01700,,head decoration protein,369
BGR_RS01705,,hypothetical protein,267
BGR_RS01710,,S49 family peptidase,1083
BGR_RS01715,,phage portal protein,1545
BGR_RS01720,,hypothetical protein,249
BGR_RS01725,,phage terminase large subunit family protein,1947
BGR_RS01730,,hypothetical protein,570
BGR_RS01735,,hypothetical protein,585
BGR_RS01740,,hypothetical protein,315
BGR_RS01745,,type II toxin-antitoxin system HicB family antitoxin,396
BGR_RS01750,,type II toxin-antitoxin system HicA family toxin,201
BGR_RS01755,,hypothetical protein,537
BGR_RS01760,ssb,single-stranded DNA-binding protein,453
BGR_RS01765,,hypothetical protein,192
BGR_RS01770,,type II toxin-antitoxin system HicB family antitoxin,429
BGR_RS01775,,hypothetical protein,279
BGR_RS01780,,phage antirepressor Ant,744
BGR_RS01785,,hypothetical protein,516
BGR_RS01790,,hypothetical protein,348
BGR_RS11025,,hypothetical protein,387
BGR_RS01800,,DUF1376 domain-containing protein,1251
BGR_RS01805,,YdaU family protein,324
BGR_RS01810,,hypothetical protein,477
BGR_RS01815,,hypothetical protein,444
BGR_RS01820,,hypothetical protein,348
BGR_RS01825,,transcriptional regulator,618
BGR_RS01830,,hypothetical protein,375
BGR_RS01835,,antA/AntB antirepressor family protein,357
BGR_RS01840,,phage regulatory protein/antirepressor Ant,729
BGR_RS01845,,ERF family protein,795
BGR_RS01850,,YqaJ viral recombinase family protein,624
BGR_RS01855,,helix-turn-helix domain-containing protein,204
BGR_RS01865,,phosphoserine transaminase,1164
BGR_RS01870,,adenylosuccinate synthase,1290
BGR_RS01875,,hypothetical protein,1422
BGR_RS01880,rpoH,RNA polymerase sigma factor RpoH,885
BGR_RS01885,,RluA family pseudouridine synthase,1005
BGR_RS01890,,aldehyde dehydrogenase family protein,1431
BGR_RS01895,,DNA translocase FtsK,2577
BGR_RS01900,,ATP-binding protein,1707
BGR_RS01905,mscL,large conductance mechanosensitive channel protein MscL,408
BGR_RS01910,,quinone-dependent dihydroorotate dehydrogenase,1083
BGR_RS01920,,hypothetical protein,315
BGR_RS01925,,hypothetical protein,792
BGR_RS01930,,hypothetical protein,576
BGR_RS01935,,hypothetical protein,552
BGR_RS01940,,hypothetical protein,354
BGR_RS01945,,hypothetical protein,915
BGR_RS10760,,hypothetical protein,408
BGR_RS11330,,hypothetical protein,789
BGR_RS01960,,hypothetical protein,558
BGR_RS01965,,hypothetical protein,504
BGR_RS11030,,hypothetical protein,156
BGR_RS01975,,site-specific DNA-methyltransferase,1938
BGR_RS01980,,DEAD/DEAH box helicase family protein,3198
BGR_RS01985,,MFS transporter,1038
BGR_RS01990,,hypothetical protein,270
BGR_RS11335,,hypothetical protein,380
BGR_RS11040,,hypothetical protein,147
BGR_RS02000,,MFS transporter,1221
BGR_RS02005,,radical SAM protein,1437
BGR_RS02010,,hypothetical protein,477
BGR_RS02015,,glutamine synthetase family protein,1428
BGR_RS02020,,FAD-binding oxidoreductase,1284
BGR_RS02025,zwf,glucose-6-phosphate dehydrogenase,1473
BGR_RS02030,pgl,6-phosphogluconolactonase,753
BGR_RS02035,edd,phosphogluconate dehydratase,1824
BGR_RS02040,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,900
BGR_RS02045,,AsmA family protein,1881
BGR_RS11045,,hypothetical protein,144
BGR_RS02050,,16S rRNA (uracil(1498)-N(3))-methyltransferase,744
BGR_RS02055,,glutamate--cysteine ligase,1374
BGR_RS02060,,damage-inducible protein,1181
BGR_RS02070,,cation:dicarboxylase symporter family transporter,1356
BGR_RS02075,,methyltransferase domain-containing protein,879
BGR_RS02080,,ComF family protein,786
BGR_RS02085,grxC,glutaredoxin 3,255
BGR_RS02090,ubiG,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG,744
BGR_RS02095,,aspartate kinase,1257
BGR_RS02100,nhaA,Na+/H+ antiporter NhaA,1359
BGR_RS02105,,hypothetical protein,1707
BGR_RS02110,,SLC13 family permease,1773
BGR_RS02115,,tetratricopeptide repeat protein,672
BGR_RS02120,der,ribosome biogenesis GTPase Der,1425
BGR_RS02125,,AtpZ/AtpI family protein,435
BGR_RS02130,,F0F1 ATP synthase subunit A,759
BGR_RS02135,,F0F1 ATP synthase subunit C,231
BGR_RS02140,,F0F1 ATP synthase subunit B,567
BGR_RS02145,,F0F1 ATP synthase subunit B,495
BGR_RS02150,glyS,glycine--tRNA ligase subunit beta,2223
BGR_RS02155,,glycine--tRNA ligase subunit alpha,942
BGR_RS02160,,tetratricopeptide repeat protein,1695
BGR_RS02165,,polyprenyl synthetase family protein,1077
BGR_RS02170,,methyltransferase,789
BGR_RS02175,,S49 family peptidase,849
BGR_RS02180,,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,909
BGR_RS02185,,ribonuclease HII,642
BGR_RS02190,,L-threonylcarbamoyladenylate synthase,963
BGR_RS02195,,FAD-binding oxidoreductase,1410
BGR_RS02200,,DUF6101 family protein,528
BGR_RS02205,purD,phosphoribosylamine--glycine ligase,1275
BGR_RS02210,ubiA,4-hydroxybenzoate octaprenyltransferase,1005
BGR_RS02215,pdxH,pyridoxamine 5'-phosphate oxidase,624
BGR_RS02220,,J domain-containing protein,903
BGR_RS02225,fabI,enoyl-ACP reductase FabI,819
BGR_RS02230,aroC,chorismate synthase,1089
BGR_RS02235,ribB,"3,4-dihydroxy-2-butanone-4-phosphate synthase",1104
BGR_RS02240,,exodeoxyribonuclease VII small subunit,255
BGR_RS02245,dxs,1-deoxy-D-xylulose-5-phosphate synthase,1908
BGR_RS02250,,TlyA family RNA methyltransferase,744
BGR_RS02255,,class I SAM-dependent RNA methyltransferase,1254
BGR_RS02260,tldD,metalloprotease TldD,1425
BGR_RS02265,,invasion associated locus B family protein,582
BGR_RS02270,cyoE,heme o synthase,936
BGR_RS02275,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,1056
BGR_RS02280,,homoserine kinase,960
BGR_RS02285,rnhA,ribonuclease HI,468
BGR_RS02290,,hypothetical protein,882
BGR_RS02295,,YqgE/AlgH family protein,585
BGR_RS02300,,EAL domain-containing protein,2886
BGR_RS02305,,insulinase family protein,1275
BGR_RS02310,thrC,threonine synthase,1398
BGR_RS02315,,hypothetical protein,363
BGR_RS02320,,hypothetical protein,363
BGR_RS02325,,hypothetical protein,357
BGR_RS02330,,HAD-IA family hydrolase,696
BGR_RS02335,,site-specific DNA-methyltransferase,1137
BGR_RS02340,mutY,A/G-specific adenine glycosylase,1059
BGR_RS02345,,DciA family protein,501
BGR_RS02350,,DsbA family protein,657
BGR_RS02355,ppdK,"pyruvate, phosphate dikinase",2667
BGR_RS02360,,peptidoglycan-binding protein,834
BGR_RS02365,,DUF5330 domain-containing protein,318
BGR_RS02370,,SufE family protein,411
BGR_RS02375,,MucR family transcriptional regulator,438
BGR_RS02380,,S9 family peptidase,2094
BGR_RS02385,,superoxide dismutase,603
BGR_RS02395,,toxin-activating lysine-acyltransferase,465
BGR_RS02400,,HlyD family type I secretion periplasmic adaptor subunit,975
BGR_RS11340,,HlyD family secretion protein,267
BGR_RS02405,,peptidase domain-containing ABC transporter,1548
BGR_RS10055,,hypothetical protein,429
BGR_RS02410,,hypothetical protein,294
BGR_RS02415,,hypothetical protein,306
BGR_RS02420,,DUF1499 domain-containing protein,786
BGR_RS02425,,hypothetical protein,540
BGR_RS02430,,DUF1214 domain-containing protein,597
BGR_RS02435,,PBP1A family penicillin-binding protein,2151
BGR_RS02440,,hypothetical protein,237
BGR_RS02445,,response regulator transcription factor,666
BGR_RS02450,,ATP-binding protein,1419
BGR_RS02455,,tetratricopeptide repeat protein,774
BGR_RS02460,ccmE,cytochrome c maturation protein CcmE,480
BGR_RS02465,,heme lyase CcmF/NrfE family subunit,1980
BGR_RS02470,,cytochrome c-type biogenesis protein CcmH,453
BGR_RS02475,,Do family serine endopeptidase,1512
